Issue_ID,Summary,Description,Status,Priority,Assignee,Reporter,Created_Date,Due_Date
ISSUE-1,Task summary 1,Detailed description of task 1,To Do,High,user_11,user_22,2023-01-01 00:00:00,2023-02-01 00:00:00
ISSUE-2,Task summary 2,Detailed description of task 2,Done,Low,user_27,user_7,2023-01-01 01:00:00,2023-02-01 01:00:00
ISSUE-3,Task summary 3,Detailed description of task 3,In Progress,Critical,user_2,user_19,2023-01-01 02:00:00,2023-02-01 02:00:00
ISSUE-4,Task summary 4,Detailed description of task 4,Done,Critical,user_48,user_50,2023-01-01 03:00:00,2023-02-01 03:00:00
ISSUE-5,Task summary 5,Detailed description of task 5,To Do,Medium,user_45,user_20,2023-01-01 04:00:00,2023-02-01 04:00:00
ISSUE-6,Task summary 6,Detailed description of task 6,To Do,Critical,user_45,user_17,2023-01-01 05:00:00,2023-02-01 05:00:00
ISSUE-7,Task summary 7,Detailed description of task 7,To Do,Medium,user_2,user_35,2023-01-01 06:00:00,2023-02-01 06:00:00
ISSUE-8,Task summary 8,Detailed description of task 8,In Progress,High,user_43,user_29,2023-01-01 07:00:00,2023-02-01 07:00:00
ISSUE-9,Task summary 9,Detailed description of task 9,To Do,High,user_15,user_42,2023-01-01 08:00:00,2023-02-01 08:00:00
ISSUE-10,Task summary 10,Detailed description of task 10,Done,Low,user_17,user_3,2023-01-01 09:00:00,2023-02-01 09:00:00
ISSUE-11,Task summary 11,Detailed description of task 11,In Progress,Medium,user_44,user_13,2023-01-01 10:00:00,2023-02-01 10:00:00
ISSUE-12,Task summary 12,Detailed description of task 12,In Progress,Critical,user_27,user_31,2023-01-01 11:00:00,2023-02-01 11:00:00
ISSUE-13,Task summary 13,Detailed description of task 13,Done,Medium,user_29,user_11,2023-01-01 12:00:00,2023-02-01 12:00:00
ISSUE-14,Task summary 14,Detailed description of task 14,Done,High,user_41,user_34,2023-01-01 13:00:00,2023-02-01 13:00:00
ISSUE-15,Task summary 15,Detailed description of task 15,In Progress,Medium,user_4,user_28,2023-01-01 14:00:00,2023-02-01 14:00:00
ISSUE-16,Task summary 16,Detailed description of task 16,To Do,High,user_47,user_47,2023-01-01 15:00:00,2023-02-01 15:00:00
